All Members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"December 6, 2024",,,,,,,,,,,,Last Increase,,52 Week Range,,Dividend Growth,,,,Trailing Total Returns,,,,,,,Performance,,Profitability,,,Financial Strength,,,Valuation,,,,

Symbol,Company,FV,Sector,No Years,Price,Div Yield,5Y Avg Yield,Current Div,Payouts/ Year,Annualized,Previous Div,Ex-Date,Pay-Date,Low,High,DGR 1Y,DGR 3Y,DGR 5Y,DGR 10Y,TTR 1Y,TTR 3Y,Fair Value,FV %,,Streak Basis,Chowder Number,EPS 1Y,Revenue 1Y,NPM,CF/Share,ROE,Current R,Debt/Capital,ROTC,P/E,P/BV,PEG,New Member,Industry

DHI,"D.R. Horton, Inc.",,Consumer Discretionary,11,159.68,1.00,0.96,0.4,4,1.60,0.300,12/11/2024,19/11/2024,133.02,199.85,20.00,14.48,14.87,24.20,78.98,32.74,At Fair Value,0,Blended,Ex-date,16,3.64,3.79,12.93,6.65,19.64,6.75,0.19,12.71,13.22,2.45,0.49,,Household Durables

DHR,Danaher Corporation,,Health Care,10,227.87,0.47,0.36,0.27,4,1.08,0.240,27/3/2024,26/4/2024,215.68,281.70,67.09,17.68,14.53,15.05,12.68,-2.59,At Fair Value,0,Blended,Ex-date,15,-10.94,12.92,16.40,8.56,7.59,1.38,0.27,4.46,51.49,3.88,4.05,,Healthcare Equipment and Supplies

DKS,"DICK'S Sporting Goods, Inc.",,Consumer Discretionary,10,208.72,2.11,2.09,1.1,4,4.40,1.000,27/3/2024,12/4/2024,136.44,239.30,23.30,42.86,32.58,24.01,96.50,23.08,At Fair Value,0,Blended,Ex-date excl. specials,35,20.96,5.68,8.66,17.95,42.65,1.73,0.60,13.16,13.41,5.09,0.43,,Specialty Retail

DLB,"Dolby Laboratories, Inc.",,Information Technology,10,79.32,1.66,1.37,0.33,4,1.32,0.300,3/12/2024,10/12/2024,66.35,90.06,11.12,10.90,9.57,,-1.99,-3.22,In the Margin of Safety,-4,Blended,Ex-date,11,30.80,-2.01,20.56,3.43,10.88,2.86,0.02,6.84,27.60,2.92,15.62,,"Electronic Equipment, Instruments and Components"

DLR,"Digital Realty Trust, Inc.",,Real Estate,20,191.08,2.55,3.63,1.22,4,4.88,1.160,14/3/2022,31/3/2022,130.00,198.00,0.00,1.99,2.81,4.09,38.27,7.88,Above Fair Value,18,Blended,Pay date,5,-57.83,1.18,8.21,6.18,1.96,1.61,0.45,0.95,127.86,2.62,27.04,,Equity Real Estate Investment Trusts (REITs)

DOV,Dover Corporation,,Industrials,69,201.78,1.02,1.47,0.515,4,2.06,0.510,30/8/2024,16/9/2024,142.44,208.27,0.99,1.00,1.17,2.98,39.14,8.68,Above Fair Value,23,Blended,Ex-date,2,63.27,7.02,18.38,9.20,29.12,1.57,0.38,10.44,17.32,4.62,0.90,,Machinery

DOX,Amdocs Limited,,Information Technology,12,87.05,2.20,2.13,0.479,4,1.92,0.435,27/3/2024,26/4/2024,74.41,94.04,-10.65,9.98,11.12,12.15,5.82,7.20,In the Margin of Safety,-1,Blended,Fiscal year ex-date,13,-5.48,2.41,9.86,6.28,14.05,1.21,0.19,10.92,20.49,2.88,4.97,,IT Services

DPZ,"Domino's Pizza, Inc.",,Consumer Discretionary,12,465.41,1.30,1.09,1.51,4,6.04,1.210,14/3/2024,29/3/2024,392.52,542.75,21.36,16.83,18.09,19.71,15.05,-2.17,In the Margin of Safety,-7,Blended,Ex-date excl. specials,19,11.32,4.41,12.27,17.69,,1.71,4.25,47.00,24.86,-3.55,2.09,,"Hotels, Restaurants and Leisure"

DUK,Duke Energy Corporation,,Utilities,20,114.01,3.67,4.14,1.045,4,4.18,1.025,16/8/2024,16/9/2024,90.09,121.25,1.99,2.03,2.03,2.77,36.18,10.09,At Fair Value,0,Blended,Ex-date,6,16.78,3.49,14.54,14.93,8.84,0.70,0.63,3.65,20.58,1.85,6.58,,Electric Utilities

EBAY,eBay Inc.,,Consumer Discretionary,6,63.62,1.70,1.67,0.27,4,1.08,0.250,8/3/2024,25/3/2024,40.16,67.80,9.28,14.84,20.35,,50.81,-0.28,At Fair Value,0,Blended,Ex-date,22,-21.12,2.05,19.68,3.67,35.86,1.26,0.60,10.40,16.27,5.80,1.14,,Internet and Direct Marketing Retail

EBMT,"Eagle Bancorp Montana, Inc.",,Financials,13,17.52,3.25,3.00,0.143,4,0.57,0.140,16/8/2024,6/9/2024,12.32,17.65,1.82,10.45,8.60,6.76,38.61,-7.61,At Fair Value,0,Blended,Ex-date,12,-26.48,-6.47,10.64,3.22,5.08,0.05,0.00,,14.53,0.70,-1.92,,Banks

EBTC,"Enterprise Bancorp, Inc.",,Financials,30,36.45,2.63,2.85,0.24,4,0.96,0.230,8/2/2024,1/3/2024,22.60,39.37,6.15,9.18,8.74,7.18,20.98,-1.04,At Fair Value,0,Blended,Ex-date,11,-16.47,-1.37,21.89,3.92,10.76,0.04,0.00,,10.99,1.07,8.00,,Banks

ECL,Ecolab Inc.,,Materials,32,247.98,0.92,1.10,0.57,4,2.28,0.530,18/12/2023,16/1/2024,189.58,262.61,7.55,5.90,4.39,7.57,52.25,8.23,At Fair Value,0,Blended,Ex-date,5,66.07,4.13,13.05,10.19,25.17,1.30,0.50,9.64,35.57,8.46,4.61,,Chemicals

ED,"Consolidated Edison, Inc.",,Utilities,50,96.5,3.44,3.76,0.83,4,3.32,0.810,13/2/2024,15/3/2024,85.85,107.75,2.49,2.22,2.38,2.80,26.11,16.85,At Fair Value,0,Blended,Ex-date,6,-21.42,-1.44,12.27,9.49,8.59,1.01,0.55,4.60,19.53,1.65,4.24,,Multi-Utilities

EFSC,Enterprise Financial Services Corp,,Financials,10,59.99,1.87,2.17,0.28,4,1.12,0.270,16/12/2024,31/12/2024,37.28,63.13,4.05,12.17,12.18,17.24,40.07,6.53,At Fair Value,0,Blended,Ex-date,14,-14.13,-1.11,30.59,7.34,10.51,0.05,0.00,,10.83,1.09,1.69,,Banks

EGP,"EastGroup Properties, Inc.",,Real Estate,13,168.98,3.31,2.66,1.4,4,5.60,1.270,30/9/2024,15/10/2024,155.23,192.61,3.79,16.80,12.36,9.06,15.48,6.90,In the Margin of Safety,-2,Blended,Ex-date,16,22.52,14.76,37.05,8.36,8.93,0.46,0.37,3.68,38.52,3.25,2.65,,Equity Real Estate Investment Trusts (REITs)

EIX,Edison International,,Utilities,21,84.92,3.67,4.43,0.78,4,3.12,0.738,28/12/2023,31/1/2024,63.15,88.77,-20.68,-4.07,-0.92,5.13,42.21,20.99,Above Fair Value,5,Blended,Pay date,3,6.37,4.05,7.64,12.20,7.42,0.88,0.67,4.60,25.38,2.41,0.00,,Electric Utilities

ELS,"Equity LifeStyle Properties, Inc.",,Real Estate,20,70.23,2.72,2.40,0.478,4,1.91,0.448,27/3/2024,12/4/2024,59.82,76.60,7.28,9.55,9.51,11.87,15.12,-0.47,In the Margin of Safety,-4,Blended,Declaration date,12,22.71,3.36,23.86,3.34,25.45,0.34,0.71,6.19,36.62,9.34,7.25,,Equity Real Estate Investment Trusts (REITs)

ELV,"Elevance Health, Inc.",,Health Care,14,392.98,1.66,1.24,1.63,4,6.52,1.480,7/3/2024,22/3/2024,391.02,567.26,11.37,13.65,15.13,14.21,20.91,13.06,In the Margin of Safety,-17,Blended,Ex-date,17,8.93,3.20,3.69,9.16,15.51,1.50,0.39,9.81,18.87,2.76,1.80,,Healthcare Providers and Services

EMN,Eastman Chemical Company,,Materials,15,101.51,3.19,3.49,0.81,4,3.24,0.790,15/12/2023,5/1/2024,80.71,114.50,2.54,5.50,5.50,8.76,50.94,7.19,At Fair Value,0,Blended,Ex-date,9,53.25,-0.35,9.48,10.22,15.93,1.53,0.48,6.85,14.85,2.30,2.34,,Chemicals

EMR,Emerson Electric Co.,,Industrials,67,133.15,1.58,2.43,0.528,4,2.11,0.525,15/11/2024,10/12/2024,87.71,134.85,0.97,1.31,1.39,2.02,15.63,7.48,Above Fair Value,14,Blended,Ex-date,3,-28.68,15.35,11.26,5.84,5.94,1.78,0.24,5.30,38.62,2.89,-7.13,,Electrical Equipment

ENB,Enbridge Inc.,,Energy,28,43.92,5.91,7.28,0.65,4,2.60,,,,32.86,44.14,1.35,0.43,4.22,7.75,31.82,7.82,At Fair Value,0,Blended,Ex-date,10,95.65,6.08,13.73,5.96,9.59,0.63,0.59,3.88,13.84,1.50,37.81,,"Oil, Gas and Consumable Fuels"

ENSG,"The Ensign Group, Inc.",,Health Care,17,143.53,0.17,0.27,0.06,4,0.24,0.058,28/12/2023,31/1/2024,104.18,158.45,4.35,4.56,4.79,5.54,55.06,24.60,Above Fair Value,17,Blended,Ex-date,5,-4.98,15.46,5.85,5.89,14.96,1.56,0.54,4.92,33.83,4.69,1.08,,Healthcare Providers and Services

EOG,"EOG Resources, Inc.",,Energy,7,130.02,3.00,2.70,0.975,4,3.90,0.910,17/1/2025,31/1/2025,108.94,139.67,10.24,31.18,30.28,23.31,0.97,22.04,In the Margin of Safety,-8,Blended,Ex-date excl. specials,33,-7.93,0.58,29.92,21.83,24.91,2.31,0.13,17.19,9.85,2.35,0.52,,"Oil, Gas and Consumable Fuels"

EPD,Enterprise Products Partners L.P.,,Energy,27,32.85,6.39,8.32,0.525,4,2.10,0.515,31/7/2024,14/8/2024,25.96,34.63,5.12,4.62,3.33,3.84,14.48,18.90,At Fair Value,0,Blended,Ex-date,10,8.84,16.21,10.33,3.75,20.67,1.08,0.53,7.26,10.91,2.23,2.60,,"Oil, Gas and Consumable Fuels"

EPRT,"Essential Properties Realty Trust, Inc.",,Real Estate,6,32.9,3.53,4.68,0.29,4,1.16,0.285,12/6/2024,28/6/2024,23.58,34.88,29.73,13.69,10.86,,66.14,12.21,Above Fair Value,2,Blended,Ex-date,14,-2.37,27.84,45.91,1.75,6.54,2.50,0.42,3.45,29.39,1.88,2.06,,Equity Real Estate Investment Trusts (REITs)

EQH,"Equitable Holdings, Inc.",,Financials,6,47.73,2.01,2.79,0.24,4,0.96,0.220,3/6/2024,10/6/2024,31.62,50.51,9.53,9.54,10.44,,51.94,15.37,Above Fair Value,10,Blended,Ex-date,12,0.00,2.40,-2.69,3.71,4.34,1.69,0.48,0.76,-37.20,8.00,0.00,,Diversified Financial Services

EQIX,"Equinix, Inc. (REIT)",,Real Estate,10,973.8,1.75,1.75,4.26,4,17.04,3.410,14/11/2023,13/12/2023,684.14,994.03,27.84,14.78,12.03,,24.80,5.95,At Fair Value,0,Blended,Ex-date excl. specials,14,19.22,4.51,12.96,34.46,8.27,1.06,0.59,2.26,79.69,6.31,5.95,,Equity Real Estate Investment Trusts (REITs)

EQR,Equity Residential,,Real Estate,7,73.38,3.68,3.88,0.675,4,2.70,0.663,22/3/2024,12/4/2024,57.33,78.84,2.88,3.70,3.69,2.26,32.06,1.10,At Fair Value,0,Blended,Pay date,7,35.92,3.33,31.57,4.03,8.37,0.11,0.44,2.85,30.50,2.61,11.81,,Equity Real Estate Investment Trusts (REITs)

ERIC,Telefonaktiebolaget LM Ericsson (publ),,Information Technology,5,8.45,3.08,2.96,0.131,2,0.26,0.128,2/10/2024,16/10/2024,4.77,8.62,-49.81,-26.34,3.40,-12.03,59.81,-9.06,Above Fair Value,88,Blended,Ex-date,6,0.00,-11.03,-0.56,12.98,-1.15,1.20,0.34,9.35,-18.51,0.30,0.00,,Communications Equipment

ERIE,Erie Indemnity Company,,Financials,34,424.4,1.20,1.72,1.275,4,5.10,1.190,5/1/2024,23/1/2024,302.08,547.00,7.16,7.21,7.22,4.82,86.45,47.49,Above Fair Value,5,Blended,Declaration date excl. specials,8,39.59,17.04,15.17,12.26,31.42,1.36,0.01,23.22,44.59,14.50,3.05,,Insurance

ES,Eversource Energy,,Utilities,26,61.64,4.64,3.51,0.715,4,2.86,0.675,4/3/2024,29/3/2024,52.09,69.01,5.92,5.90,5.98,6.21,22.46,-2.40,In the Margin of Safety,-22,Blended,Ex-date,11,0.00,-5.09,-4.73,5.65,-3.50,0.86,0.66,4.01,-43.78,1.65,0.00,,Electric Utilities

ESNT,Essent Group Ltd.,,Financials,5,56.4,1.99,1.88,0.28,4,1.12,0.250,12/3/2024,22/3/2024,48.08,65.34,11.23,17.62,48.69,,38.63,15.83,At Fair Value,0,Blended,Ex-date,51,11.22,15.06,62.22,8.06,14.11,2.98,0.09,9.89,9.22,1.22,1.90,,Thrifts and Mortgage Finance

ESS,"Essex Property Trust, Inc.",,Real Estate,30,299.67,3.27,3.58,2.45,4,9.80,2.310,27/3/2024,12/4/2024,222.30,317.73,5.81,4.99,4.62,6.77,44.49,1.00,At Fair Value,0,Blended,Ex-date,8,4.84,3.18,31.36,16.42,10.18,0.83,0.54,2.81,34.53,3.50,6.13,,Equity Real Estate Investment Trusts (REITs)

ESSA,"ESSA Bancorp, Inc.",,Financials,6,20.61,2.91,3.27,0.15,4,0.60,0.120,15/6/2022,30/6/2022,15.30,21.50,0.00,8.49,8.45,8.73,32.40,8.78,At Fair Value,0,Blended,Ex-date,11,-10.79,-3.02,25.48,2.06,7.86,0.08,0.00,,9.69,0.75,0.94,,Thrifts and Mortgage Finance

ETD,Ethan Allen Interiors Inc.,,Consumer Discretionary,5,30.37,5.14,4.97,0.39,4,1.56,0.360,6/5/2024,23/5/2024,26.53,35.62,10.30,7.43,14.57,14.14,13.85,17.79,Above Fair Value,13,Blended,Fiscal year ex-date excl. specials,20,-30.16,-14.05,9.99,3.08,13.58,2.00,0.22,7.93,12.81,1.71,0.78,,Household Durables

ETN,Eaton Corporation plc,,Industrials,15,371.05,1.01,2.14,0.94,4,3.76,0.860,8/3/2024,29/3/2024,226.80,379.99,8.56,6.93,5.70,6.90,57.52,32.80,Above Fair Value,42,Blended,Ex-date,7,25.83,8.82,15.32,10.10,20.08,1.54,0.35,9.89,35.09,6.86,3.25,,Electrical Equipment

ETR,Entergy Corporation,,Utilities,10,153.73,3.12,3.94,1.2,4,4.80,0.565,13/11/2024,2/12/2024,96.15,158.07,5.61,5.96,4.43,3.14,48.61,14.36,Above Fair Value,9,Blended,Ex-date,8,17.61,-6.57,14.81,19.57,11.96,0.90,0.66,3.52,15.98,1.88,1.08,,Electric Utilities

EVBN,"Evans Bancorp, Inc.",,Financials,12,44.23,2.98,4.03,0.66,2,1.32,0.640,9/3/2023,4/4/2023,24.07,46.00,0.00,3.23,4.89,7.35,51.24,4.44,Above Fair Value,34,Blended,Adjusted ex-date,8,-10.35,-3.12,22.44,1.34,10.93,0.07,0.00,,11.65,1.15,-7.13,,Banks

EVR,Evercore Inc.,,Financials,18,296.68,1.08,2.46,0.8,4,3.20,0.760,31/5/2024,14/6/2024,151.29,324.06,5.41,6.54,7.64,12.06,86.80,26.46,Above Fair Value,75,Blended,Ex-date,9,2.51,12.78,11.50,18.75,20.68,1.88,0.33,,30.25,6.20,-28.04,,Capital Markets

EVRG,"Evergy, Inc.",,Utilities,21,63.32,4.22,4.06,0.668,4,2.67,0.643,21/11/2024,20/12/2024,48.04,65.47,4.90,6.30,6.23,6.34,28.29,4.12,In the Margin of Safety,-1,Blended,Ex-date,10,25.21,3.18,14.77,8.76,8.74,0.56,0.58,3.77,16.74,1.43,2.08,,Electric Utilities

EWBC,"East West Bancorp, Inc.",,Financials,7,105.87,2.08,2.68,0.55,4,2.20,0.480,1/2/2024,15/2/2024,66.69,113.95,15.77,18.97,16.10,11.94,61.92,4.94,At Fair Value,0,Blended,Ex-date,18,-10.55,3.61,46.05,10.57,15.59,0.10,0.00,,10.38,1.50,0.87,,Banks

EXPD,"Expeditors International of Washington, Inc.",,Industrials,30,120.45,1.21,1.16,0.73,2,1.46,0.690,3/6/2024,17/6/2024,111.20,131.59,4.42,8.89,8.38,8.65,15.99,4.53,At Fair Value,0,Blended,Ex-date,10,-3.69,-5.17,7.39,4.44,30.29,1.72,0.19,19.87,25.53,7.81,3.71,,Air Freight and Logistics

EXPO,"Exponent, Inc.",,Industrials,12,96.12,1.17,0.99,0.28,4,1.12,0.260,7/3/2024,22/3/2024,68.70,115.75,7.85,11.67,12.52,17.20,36.35,1.72,In the Margin of Safety,-2,Blended,Ex-date,14,4.53,2.57,20.91,3.13,27.85,3.00,0.17,15.87,54.40,14.02,8.12,,Professional Services

EXR,Extra Space Storage Inc.,,Real Estate,14,163.64,3.96,3.61,1.62,4,6.48,0.610,14/12/2023,29/12/2023,131.02,184.87,1.89,16.02,12.99,14.06,54.44,6.59,At Fair Value,0,Blended,Ex-date,17,-27.67,42.81,24.42,8.72,5.57,2.93,0.46,3.44,47.24,2.73,13.31,,Equity Real Estate Investment Trusts (REITs)

FAF,First American Financial Corporation,,Financials,14,68.87,3.14,3.53,0.54,4,2.16,0.530,20/9/2024,27/9/2024,51.60,70.92,1.92,4.07,4.87,11.46,21.16,3.08,Above Fair Value,4,Blended,Ex-date,8,-60.65,-6.18,1.59,5.12,1.95,0.49,0.37,2.06,73.92,1.34,-2.52,,Insurance

FAST,Fastenal Company,,Industrials,25,81.76,1.91,2.31,0.39,4,1.56,0.350,31/1/2024,29/2/2024,61.33,84.88,11.77,11.73,12.33,11.77,34.61,14.37,Above Fair Value,7,Blended,Ex-date excl. specials,14,1.62,2.70,15.44,2.18,32.70,4.40,0.13,23.36,35.40,11.38,4.35,,Trading Companies and Distributors

FBIZ,"First Business Financial Services, Inc.",,Financials,12,50.09,2.00,3.01,0.25,4,1.00,0.228,7/2/2024,21/2/2024,32.56,52.22,39.49,20.31,15.79,12.30,57.03,19.95,Above Fair Value,3,Blended,Ex-date,18,6.33,3.60,28.24,6.01,13.37,0.07,0.00,,9.83,1.27,0.74,,Banks

FBK,FB Financial Corporation,,Financials,6,56.68,1.20,1.43,0.17,4,0.68,0.150,12/2/2024,27/2/2024,33.35,58.88,13.80,16.27,15.58,,68.41,4.67,Above Fair Value,14,Blended,Ex-date,17,-16.63,-10.49,24.64,4.05,7.33,0.11,0.00,,20.43,1.41,-9.61,,Banks

FBMS,"The First Bancshares, Inc.",,Financials,7,37,2.70,2.37,0.25,4,1.00,0.240,6/2/2024,23/2/2024,22.96,39.08,15.12,22.40,28.74,20.77,23.67,-3.35,In the Margin of Safety,-12,Blended,Ex-date,31,-18.71,-3.46,26.05,3.05,7.33,0.05,0.00,,14.47,1.00,-8.79,,Banks

FBNC,First Bancorp,,Financials,6,47.65,1.85,2.74,0.22,4,0.88,0.200,30/3/2022,25/4/2022,29.53,50.34,-20.00,4.11,13.86,10.65,51.40,1.57,Above Fair Value,8,Blended,Ex-date,16,-12.68,-5.76,28.22,3.53,7.49,0.08,0.00,,16.74,1.17,-3.40,,Banks

FBP,First BanCorp.,,Financials,6,20.45,3.13,3.20,0.16,4,0.64,0.140,22/2/2024,8/3/2024,15.15,22.40,14.82,33.60,38.89,,62.97,21.42,At Fair Value,0,Blended,Ex-date,42,10.19,-0.32,34.82,2.33,20.15,0.05,0.00,,11.65,2.03,1.03,,Banks

FCBC,"First Community Bankshares, Inc.",,Financials,13,45.57,2.72,3.78,0.31,4,1.24,0.290,9/8/2024,23/8/2024,31.00,49.02,1.73,4.98,5.11,9.19,51.49,14.86,Above Fair Value,18,Blended,Ex-date excl. specials,8,-2.42,7.32,30.86,3.15,9.91,0.13,0.00,,15.78,1.52,6.69,,Banks

FCF,First Commonwealth Financial Corporation,,Financials,8,18.63,2.79,3.91,0.13,4,0.52,0.125,2/5/2024,17/5/2024,12.41,19.96,4.09,4.27,5.52,6.57,45.70,11.76,Above Fair Value,3,Blended,Ex-date,8,-0.24,1.77,33.21,1.57,11.44,0.07,0.00,,11.55,1.25,1.71,,Banks

FCNC.A,"First Citizens BancShares, Inc.",,Financials,8,2195.63,0.36,0.32,1.95,4,7.80,1.640,29/11/2024,16/12/2024,1363.97,2388.78,118.67,51.68,32.61,18.52,33.93,30.15,In the Margin of Safety,-8,Blended,Ex-date,33,-77.24,44.78,27.67,191.13,12.00,0.19,0.00,,10.55,1.19,0.31,,Banks

FCPT,"Four Corners Property Trust, Inc.",,Real Estate,9,29.27,4.85,5.20,0.355,4,1.42,0.345,31/12/2024,15/1/2025,22.38,30.93,1.48,13.16,3.72,,39.31,8.93,At Fair Value,0,Blended,Pay date excl. specials,9,-0.69,9.09,37.28,1.60,7.58,0.65,0.46,3.78,27.35,2.10,-54.36,,Equity Real Estate Investment Trusts (REITs)

FDBC,"Fidelity D & D Bancorp, Inc.",,Financials,10,53.13,3.01,2.85,0.4,4,1.60,0.380,15/11/2024,10/12/2024,41.11,61.21,5.56,8.20,7.89,8.60,12.07,2.37,At Fair Value,0,Blended,Ex-date,11,-38.70,-12.24,21.66,5.49,8.28,0.06,0.00,,18.31,1.37,-6.61,,Banks

FDP,Fresh Del Monte Produce Inc.,,Consumer Staples,5,34.07,2.94,2.23,0.25,4,1.00,0.200,6/3/2024,29/3/2024,21.23,35.27,35.72,28.29,35.24,6.63,18.74,-0.06,In the Margin of Safety,-14,Blended,Ex-date,38,-86.48,-1.76,0.36,3.87,0.73,2.10,0.19,3.70,91.56,0.71,-3.93,,Food Products

FDS,FactSet Research Systems Inc.,,Financials,26,478.37,0.87,0.86,1.04,4,4.16,0.980,31/5/2024,20/6/2024,391.84,499.87,8.03,8.31,8.24,10.57,6.15,6.15,At Fair Value,0,Blended,Ex-date,9,15.14,5.64,24.39,18.41,30.42,1.26,0.46,12.71,29.97,8.40,3.40,,Capital Markets

FELE,"Franklin Electric Co., Inc.",,Industrials,32,106.97,0.93,0.96,0.25,4,1.00,0.225,31/1/2024,15/2/2024,90.79,111.94,12.07,12.77,11.93,11.28,18.69,10.56,At Fair Value,0,Blended,Ex-date,13,-4.39,-3.51,9.23,5.84,15.15,2.40,0.11,11.37,26.12,3.78,1.96,,Machinery

FFIN,"First Financial Bankshares, Inc.",,Financials,14,40.94,1.76,1.86,0.18,4,0.72,0.170,14/6/2023,3/7/2023,26.54,44.66,2.86,8.74,9.86,10.31,50.82,-5.06,At Fair Value,0,Blended,Ex-date,12,-2.19,4.11,40.60,1.99,14.28,0.06,0.00,,25.51,3.17,6.42,,Banks

FFNW,"First Financial Northwest, Inc.",,Financials,7,22.23,2.34,3.17,0.13,4,0.52,0.120,13/3/2023,24/3/2023,12.21,23.50,-23.53,-3.21,2.79,7.46,81.17,14.67,At Fair Value,0,Blended,Ex-date,5,-87.30,-19.75,2.87,-0.36,0.67,0.08,0.00,,194.14,1.30,-5.59,,Banks

FIBK,"First Interstate BancSystem, Inc.",,Financials,10,34.28,5.48,5.19,0.47,4,1.88,0.410,7/11/2022,18/11/2022,24.16,36.77,0.00,5.31,9.22,11.74,32.04,-3.29,At Fair Value,0,Blended,Ex-date excl. specials,15,-15.77,-7.83,24.75,3.20,7.30,0.04,0.00,,13.44,0.96,-4.04,,Banks

FISI,"Financial Institutions, Inc.",,Financials,13,26.71,4.49,5.35,0.3,4,1.20,0.290,15/3/2023,3/4/2023,16.29,29.14,0.85,3.90,3.93,4.68,60.66,-0.79,In the Margin of Safety,-3,Blended,Ex-date,8,-3.60,9.26,23.52,0.16,11.21,0.06,0.00,,7.94,0.82,1.92,,Banks

FITB,Fifth Third Bancorp,,Financials,14,47.32,3.13,3.88,0.37,4,1.48,0.350,30/9/2024,15/10/2024,30.20,49.07,5.98,0.96,9.07,11.01,75.62,4.38,Above Fair Value,8,Blended,Ex-date,12,-14.43,-2.02,27.59,7.31,11.92,0.05,0.00,,14.20,1.56,-46.07,,Banks

FIX,"Comfort Systems USA, Inc.",,Industrials,12,497.14,0.28,0.56,0.35,4,1.40,0.300,14/11/2024,25/11/2024,186.57,510.79,46.67,33.73,23.37,17.47,129.96,77.10,Above Fair Value,8,Blended,Ex-date,24,63.42,31.23,7.19,22.72,33.50,1.05,0.17,24.08,29.79,8.73,0.84,,Construction and Engineering

FLIC,The First of Long Island Corporation,,Financials,27,14.24,5.90,5.41,0.21,4,0.84,0.200,11/10/2022,21/10/2022,9.30,15.03,0.00,3.40,4.32,3.66,20.34,-9.57,In the Margin of Safety,-1,Blended,Declaration date,10,-33.87,-17.00,23.47,1.46,5.35,0.03,0.00,,14.59,0.75,-1.20,,Banks

FLNG,Flex LNG Ltd.,,Energy,5,22.64,13.25,9.96,0.75,4,3.00,0.400,1/12/2021,17/12/2021,22.58,31.41,20.00,55.37,,,-0.34,29.25,In the Margin of Safety,-15,Blended,Ex-date,,-35.59,-2.44,25.33,3.44,10.96,2.22,0.68,4.96,14.90,1.72,0.25,,"Oil, Gas and Consumable Fuels"

FLO,"Flowers Foods, Inc.",,Consumer Staples,22,22.26,4.31,3.67,0.24,4,0.96,0.230,6/6/2024,20/6/2024,21.20,26.12,4.45,4.66,4.91,7.30,8.45,2.85,In the Margin of Safety,-9,Blended,Ex-date,9,77.00,1.53,4.70,1.78,17.31,1.25,0.50,8.52,19.65,3.36,3.48,,Food Products

FMAO,"Farmers & Merchants Bancorp, Inc.",,Financials,15,32.7,2.71,3.20,0.222,4,0.89,0.220,4/10/2024,20/10/2024,18.99,34.15,38.10,8.04,3.29,7.56,64.18,10.58,At Fair Value,0,Blended,Ex-date,6,-5.79,-0.25,23.58,3.00,7.24,0.10,0.00,,16.38,1.12,12.71,,Banks

FMBH,"First Mid Bancshares, Inc.",,Financials,14,41.94,2.29,2.89,0.24,4,0.96,0.230,16/8/2024,30/8/2024,28.86,43.86,1.09,-3.66,5.26,6.20,50.67,0.95,At Fair Value,0,Blended,Ex-date,8,-4.65,22.38,24.60,4.82,9.75,0.04,0.00,,11.95,1.09,3.72,,Banks

FMC,FMC Corporation,,Materials,6,57.19,4.06,2.56,0.58,4,2.32,0.530,29/12/2022,19/1/2023,50.03,68.72,0.00,6.52,7.72,14.78,2.19,-7.96,In the Margin of Safety,-26,Blended,Ex-date,12,157.76,-16.02,34.94,4.52,38.46,1.49,0.48,4.00,5.41,1.79,0.28,,Chemicals

FMNB,Farmers National Banc Corp.,,Financials,8,15.74,4.32,4.38,0.17,4,0.68,0.160,8/12/2022,30/12/2022,11.55,16.32,0.00,15.62,13.57,18.95,37.63,3.49,At Fair Value,0,Blended,Ex-date,18,-7.23,-0.03,28.31,1.81,12.22,0.05,0.00,,12.23,1.30,-48.94,,Banks

FNF,"Fidelity National Financial, Inc.",,Financials,13,62.09,3.22,3.97,0.5,4,2.00,0.480,17/12/2024,31/12/2024,46.55,64.83,6.67,9.07,9.32,10.31,55.99,15.83,At Fair Value,0,Blended,Ex-date,13,28.79,23.82,5.56,28.01,9.94,1.01,0.34,6.86,22.38,2.11,-97.43,,Insurance

FNLC,"The First Bancorp, Inc.",,Financials,12,28.53,5.05,5.19,0.36,4,1.44,0.350,9/7/2024,19/7/2024,21.78,31.05,2.92,4.10,3.81,5.77,18.53,1.61,At Fair Value,0,Blended,Declaration date excl. specials,9,-17.90,-5.87,33.82,2.30,10.94,0.03,0.00,,10.99,1.15,20.43,,Banks

FOX,Fox Corporation,,Communication Services,5,44.25,1.22,1.56,0.27,2,0.54,0.260,4/9/2024,25/9/2024,25.82,44.89,3.93,4.09,-3.71,,36.64,3.11,Above Fair Value,6,Blended,Ex-date,-2,101.90,-3.96,13.40,4.25,17.72,2.60,0.42,8.51,9.50,1.58,0.85,,Media

FOXA,Fox Corporation,,Communication Services,5,46.65,1.16,1.47,0.27,2,0.54,0.260,4/9/2024,25/9/2024,28.29,47.59,3.93,4.09,-3.71,,37.80,3.31,Above Fair Value,4,Blended,Ex-date,-3,101.90,-3.96,13.40,4.25,17.72,2.60,0.42,8.51,10.37,1.72,0.93,,Media

